num_tbls,size_tbls,memory,accuracy
1,10,40,0.696970
1,60,240,0.701220
1,110,440,0.748373
1,160,640,0.773543
1,210,840,0.726316
1,260,1040,0.804196
1,310,1240,0.825359
1,360,1440,0.753275
1,410,1640,0.847666
1,460,1840,0.701220
1,510,2040,0.766667
1,560,2240,0.866834
1,610,2440,0.886889
1,660,2640,0.800464
1,710,2840,0.898438
1,760,3040,0.898438
1,810,3240,0.811765
1,860,3440,0.907895
1,910,3640,0.920000
1,960,3840,0.819477
2,10,80,0.696970
2,60,480,0.709877
2,110,880,0.748373
2,160,1280,0.773543
2,210,1680,0.748373
2,260,2080,0.804196
2,310,2480,0.825359
2,360,2880,0.791284
2,410,3280,0.847666
2,460,3680,0.793103
2,510,4080,0.770089
2,560,4480,0.866834
2,610,4880,0.886889
2,660,5280,0.858209
2,710,5680,0.898438
2,760,6080,0.898438
2,810,6480,0.875635
2,860,6880,0.907895
2,910,7280,0.920000
2,960,7680,0.884615
3,10,120,0.696970
3,60,720,0.709877
3,110,1320,0.748373
3,160,1920,0.773543
3,210,2520,0.748373
3,260,3120,0.804196
3,310,3720,0.825359
3,360,4320,0.791284
3,410,4920,0.847666
3,460,5520,0.849754
3,510,6120,0.770089
3,560,6720,0.866834
3,610,7320,0.886889
3,660,7920,0.858209
3,710,8520,0.898438
3,760,9120,0.898438
3,810,9720,0.875635
3,860,10320,0.907895
3,910,10920,0.920000
3,960,11520,0.884615
4,10,160,0.696970
4,60,960,0.727848
4,110,1760,0.748373
4,160,2560,0.773543
4,210,3360,0.750000
4,260,4160,0.804196
4,310,4960,0.825359
4,360,5760,0.843521
4,410,6560,0.847666
4,460,7360,0.849754
4,510,8160,0.873418
4,560,8960,0.866834
4,610,9760,0.886889
4,660,10560,0.882353
4,710,11360,0.898438
4,760,12160,0.898438
4,810,12960,0.907895
4,860,13760,0.907895
4,910,14560,0.920000
4,960,15360,0.917553
5,10,200,0.696970
5,60,1200,0.727848
5,110,2200,0.748373
5,160,3200,0.773543
5,210,4200,0.751634
5,260,5200,0.804196
5,310,6200,0.825359
5,360,7200,0.843521
5,410,8200,0.847666
5,460,9200,0.849754
5,510,10200,0.873418
5,560,11200,0.866834
5,610,12200,0.886889
5,660,13200,0.882353
5,710,14200,0.898438
5,760,15200,0.898438
5,810,16200,0.907895
5,860,17200,0.907895
5,910,18200,0.920000
5,960,19200,0.917553
6,10,240,0.696970
6,60,1440,0.727848
6,110,2640,0.748373
6,160,3840,0.773543
6,210,5040,0.778781
6,260,6240,0.804196
6,310,7440,0.825359
6,360,8640,0.843521
6,410,9840,0.847666
6,460,11040,0.849754
6,510,12240,0.873418
6,560,13440,0.866834
6,610,14640,0.886889
6,660,15840,0.882353
6,710,17040,0.898438
6,760,18240,0.898438
6,810,19440,0.907895
6,860,20640,0.907895
6,910,21840,0.920000
6,960,23040,0.917553
7,10,280,0.696970
7,60,1680,0.727848
7,110,3080,0.748373
7,160,4480,0.773543
7,210,5880,0.778781
7,260,7280,0.804196
7,310,8680,0.825359
7,360,10080,0.843521
7,410,11480,0.847666
7,460,12880,0.849754
7,510,14280,0.873418
7,560,15680,0.866834
7,610,17080,0.886889
7,660,18480,0.882353
7,710,19880,0.898438
7,760,21280,0.898438
7,810,22680,0.907895
7,860,24080,0.907895
7,910,25480,0.920000
7,960,26880,0.917553
8,10,320,0.696970
8,60,1920,0.727848
8,110,3520,0.748373
8,160,5120,0.773543
8,210,6720,0.778781
8,260,8320,0.804196
8,310,9920,0.825359
8,360,11520,0.843521
8,410,13120,0.847666
8,460,14720,0.849754
8,510,16320,0.873418
8,560,17920,0.866834
8,610,19520,0.886889
8,660,21120,0.882353
8,710,22720,0.898438
8,760,24320,0.898438
8,810,25920,0.907895
8,860,27520,0.907895
8,910,29120,0.920000
8,960,30720,0.917553
9,10,360,0.696970
9,60,2160,0.727848
9,110,3960,0.748373
9,160,5760,0.773543
9,210,7560,0.778781
9,260,9360,0.804196
9,310,11160,0.825359
9,360,12960,0.843521
9,410,14760,0.847666
9,460,16560,0.849754
9,510,18360,0.873418
9,560,20160,0.866834
9,610,21960,0.886889
9,660,23760,0.882353
9,710,25560,0.898438
9,760,27360,0.898438
9,810,29160,0.907895
9,860,30960,0.907895
9,910,32760,0.920000
9,960,34560,0.917553
10,10,400,0.696970
10,60,2400,0.727848
10,110,4400,0.748373
10,160,6400,0.773543
10,210,8400,0.778781
10,260,10400,0.804196
10,310,12400,0.825359
10,360,14400,0.843521
10,410,16400,0.847666
10,460,18400,0.849754
10,510,20400,0.873418
10,560,22400,0.866834
10,610,24400,0.886889
10,660,26400,0.882353
10,710,28400,0.898438
